"Town_Code","Town_Name","Pop_T","city_class"
63939,"Gheora",6876,"Class_5"
63940,"Rani Khera",16402,"Class_4"
63941,"Mubarak Pur Dabas",12043,"Class_4"
63942,"Kirari Suleman Nagar",283211,"Class_1"
63943,"Nithari",50464,"Class_2"
63944,"Mohammad Pur Majri",17462,"Class_4"
63945,"Karala",35730,"Class_3"
63946,"Begum Pur",53682,"Class_2"
63947,"Pooth Kalan",96002,"Class_2"
63948,"Sultan Pur Majra",181554,"Class_1"
63950,"Bhalswa Jahangir Pur",197148,"Class_1"
63955,"Mukand Pur",57135,"Class_2"
63956,"Kamal Pur Majra Burari",43086,"Class_3"
63957,"Burari",146190,"Class_1"
63958,"Jharoda Majra Burari",22878,"Class_3"
63968,"Sadat Pur Gujran",97641,"Class_2"
63969,"Baqiabad",14429,"Class_4"
63970,"Karawal Nagar",224281,"Class_1"
63971,"Dayal Pur",20589,"Class_3"
63972,"Jiwan Pur alias Johri Pur",43054,"Class_3"
63973,"Mustafabad",127167,"Class_1"
63974,"Khan Pur Dhani",6994,"Class_5"
63975,"Tukhmir Pur",5658,"Class_5"
63976,"Khajoori Khas",76640,"Class_2"
63977,"Mir Pur Turk",19098,"Class_4"
63978,"Ziauddin Pur",68993,"Class_2"
63979,"Gokal Pur",121870,"Class_1"
63980,"Babar Pur",37058,"Class_3"
63981,"Jaffrabad",54601,"Class_2"
63982,"Mandoli",120417,"Class_1"
63983,"Shakar Pur Baramad",1178,"Class_6"
63985,"Gharonda Neemka Bangar alias Patpar Ganj",37876,"Class_3"
63986,"Gharoli",92540,"Class_2"
63987,"Kondli",38207,"Class_3"
63988,"Dallo Pura",154791,"Class_1"
63989,"Chilla Saroda Bangar",83217,"Class_2"
63990,"Chilla Saroda Khadar",11743,"Class_4"
63991,"Hastsal",176877,"Class_1"
63992,"Raja Pur Khurd",19312,"Class_4"
63995,"Bapraula",52744,"Class_2"
63996,"Tilang Pur Kotla",13614,"Class_4"
63997,"Shafi Pur Ranhola",31944,"Class_3"
63998,"Nilothi",43371,"Class_3"
63999,"Nangloi Jat",205596,"Class_1"
64000,"Quammruddin Nagar",25126,"Class_3"
64001,"Mundka",54541,"Class_2"
64002,"Bakkar Wala",18122,"Class_4"
64003,"Tikri Kalan",16313,"Class_4"
64045,"Jharoda Kalan",19578,"Class_4"
64046,"Kair",4074,"Class_6"
64047,"Jaffar Pur Kalan",6573,"Class_5"
64048,"Ujwa",4856,"Class_6"
64049,"Mitraon",6512,"Class_5"
64050,"Khera",7220,"Class_5"
64051,"Dindar Pur",35856,"Class_3"
64052,"Roshan Pura alias Dichaon Khurd",57217,"Class_2"
64053,"Nangli Sakrawati",37706,"Class_3"
64054,"Chhawala",14662,"Class_4"
64055,"Moradabad Pahari",21502,"Class_3"
64056,"Kusum Pur",17028,"Class_4"
64057,"Malik Pur Kohi alias Rang Puri",23726,"Class_3"
64058,"Sambhalka",17076,"Class_4"
64059,"Kapas Hera",74073,"Class_2"
64060,"Rajokri",19148,"Class_4"
64061,"Ghitorni",14893,"Class_4"
64065,"Aya Nagar",33123,"Class_3"
64066,"Jona Pur",10635,"Class_4"
64067,"Fateh Pur Beri",8861,"Class_5"
64068,"Dera Mandi",16725,"Class_4"
64069,"Bhati",18864,"Class_4"
64070,"Asola",13275,"Class_4"
64071,"Chandan Hola",6780,"Class_5"
64072,"Sultan Pur",15160,"Class_4"
64073,"Chattar Pur",46776,"Class_3"
64074,"Maidan Garhi",11111,"Class_4"
64075,"Raj Pur Khurd",11161,"Class_4"
64076,"Deoli",169122,"Class_1"
64077,"Neb Sarai",15640,"Class_4"
64078,"Saidul Azaib",17914,"Class_4"
64079,"Tigri",46974,"Class_3"
64080,"Saidabad",10168,"Class_4"
64081,"Kotla Mahigiran",7376,"Class_5"
64082,"Pul Pehlad",69657,"Class_2"
64083,"Taj Pul",68796,"Class_2"
64084,"Mithe Pur",69837,"Class_2"
64085,"Molar Band",91402,"Class_2"
64086,"Aali",27169,"Class_3"
64087,"Jait Pur",59330,"Class_2"
64639,"3 e Village",12134,"Class_4"
64852,"8 LLG",11361,"Class_4"
66362,"3 STR",11667,"Class_4"
66363,"24 AS-C",6648,"Class_5"
66364,"8 PSD-B",11675,"Class_4"
66641,"1 GB-A",7297,"Class_5"
69573,"Kolayat",9684,"Class_5"
69776,"Beriyawali",11831,"Class_4"
71111,"Malsisar",13719,"Class_4"
71112,"Nooan",6049,"Class_5"
71113,"Islampur",10247,"Class_4"
71463,"Singhana",11372,"Class_4"
71567,"Gothra",16933,"Class_4"
71568,"Babai",10620,"Class_4"
71949,"Neemrana",7143,"Class_5"
71950,"Shahjahanpur",9837,"Class_5"
72405,"Tapookra",9471,"Class_5"
72517,"Kishangarh",12429,"Class_4"
72695,"Ramgarh",13529,"Class_4"
72893,"Bhoogar",7666,"Class_5"
72894,"Diwakari",11188,"Class_4"
72895,"Desoola",7306,"Class_5"
73683,"Govindgarh",11552,"Class_4"
75197,"Bayana",5866,"Class_5"
75562,"Sarmathura",17988,"Class_4"
77072,"Sapotra",6716,"Class_5"
77198,"Mahu Kalan",10971,"Class_4"
77533,"Kasba Bonli",15300,"Class_4"
78281,"Mandawar",11960,"Class_4"
78282,"Mahwa",24846,"Class_3"
79345,"Manoharpur",20287,"Class_3"
79460,"Govindgarh",7735,"Class_5"
80247,"Bagrana",10790,"Class_4"
80443,"Akedadoongar",9062,"Class_5"
80685,"Jamwa Ramgarh",7665,"Class_5"
80898,"Kanota",11250,"Class_4"
80899,"Bassi",26029,"Class_3"
80900,"Baskhoh",11150,"Class_4"
81930,"Danta",15594,"Class_4"
81931,"Ramgarh",7924,"Class_5"
81932,"Bay",5936,"Class_5"
82168,"Kanwat",7903,"Class_5"
82169,"Ajeetgarh",15414,"Class_4"
82362,"Guhala",6343,"Class_5"
82987,"Basni Belima",29187,"Class_3"
82988,"Chenar Village",5579,"Class_5"
83283,"Gothan",17700,"Class_4"
83284,"Merta Road",16905,"Class_4"
83490,"Jhagarwas",5728,"Class_5"
83491,"Goredi Chancha",10655,"Class_4"
83743,"Borawar",24975,"Class_3"
83744,"Makrana Village",21808,"Class_3"
85020,"Nandri",20827,"Class_3"
85021,"Sangariya",22853,"Class_3"
85022,"Kuri Bhagtasani",38429,"Class_3"
88172,"Dhorimanna",6513,"Class_5"
88468,"Utarlai",4603,"Class_6"
89253,"Ahore",16867,"Class_4"
90024,"Goyli",5728,"Class_5"
90133,"Bhavri",15312,"Class_4"
90219,"Santpur",9186,"Class_5"
90348,"Reodar",8117,"Class_5"
90726,"Sojat Road",12472,"Class_4"
91065,"Marwar Junction",12004,"Class_4"
91641,"Boraj-Kazipura",8780,"Class_5"
91642,"Badlya",5111,"Class_5"
92091,"Baral",6344,"Class_5"
92991,"Banasthali",12835,"Class_4"
93680,"Aligarh",7626,"Class_5"
94175,"Sumerganj Mandi",3633,"Class_6"
94556,"Talera",7203,"Class_5"
94557,"Budhpura",5070,"Class_5"
95665,"Hameer Garh",11678,"Class_4"
96393,"Beejoliya Kalan",14140,"Class_4"
96535,"Bhim",11568,"Class_4"
96823,"Sardargarh",6600,"Class_5"
97133,"Kelwa",11712,"Class_4"
97134,"Emri",4758,"Class_6"
97448,"Delwara",4429,"Class_6"
98173,"Galiakot",4707,"Class_6"
98426,"Seemalwara",6891,"Class_5"
98874,"Garhi",5180,"Class_5"
98875,"Partapur",10758,"Class_4"
100868,"Sawa",11923,"Class_4"
102329,"Chechat",11690,"Class_4"
102330,"Modak",9204,"Class_5"
102331,"Khairabad",11993,"Class_4"
102332,"Udpura",10051,"Class_4"
102333,"Satalkheri",15617,"Class_4"
102334,"Suket",22319,"Class_3"
102335,"Kumbhkot",6602,"Class_5"
102950,"Kherliganj",7022,"Class_5"
102951,"Atru",11141,"Class_4"
102952,"Kawai",9487,"Class_5"
103778,"Chhipabarod",18837,"Class_4"
103985,"Khanpur",13848,"Class_4"
104376,"Bakani",9812,"Class_5"
104837,"Manoharthana",11292,"Class_4"
105388,"Kolvi @ Mandi Rajendrapur",8584,"Class_5"
105568,"Mavli",9199,"Class_5"
105801,"Gogunda",8751,"Class_5"
106672,"Bedla",5766,"Class_5"
106673,"Bargaon",9193,"Class_5"
106674,"Bhuwana",17665,"Class_4"
106675,"Bichhri",4295,"Class_6"
107554,"Bhalariya",3962,"Class_6"
107555,"Newa Talai",2525,"Class_6"
107556,"Chawand",4252,"Class_6"
107557,"Semari",4612,"Class_6"
107683,"Rishabhdeo",9171,"Class_5"
107879,"Kherwara Chhaoni",7581,"Class_5"
108047,"Dhariawad",11368,"Class_4"
109208,"Chhutmalpur",14274,"Class_4"
109634,"Gagalhedi Must.",7776,"Class_5"
109635,"Malhipur",6720,"Class_5"
109636,"Kailashpur",11422,"Class_4"
110273,"Ramdaspur Urf Nagal",5730,"Class_5"
111037,"Sarwat",34846,"Class_3"
111038,"Shahbudinpur",25157,"Class_3"
111039,"Almaspur",13318,"Class_4"
111040,"Kukra",29454,"Class_3"
111300,"Khanupur",6681,"Class_5"
111301,"Shekhpura",9529,"Class_5"
111302,"Khatauli Rural",14949,"Class_4"
112010,"Tatarpur Lallu",7847,"Class_5"
112563,"Rashidpur Garhi",7870,"Class_5"
112564,"Mukrampur Khema",14089,"Class_4"
113101,"Kotwali",11221,"Class_4"
113991,"Sadruddin Nagar",3506,"Class_6"
113992,"Dhampur Husainpur",6752,"Class_5"
113993,"Alhaipur",9064,"Class_5"
114483,"Basta",8697,"Class_5"
114993,"Gadhi",9933,"Class_5"
115310,"Got",6599,"Class_5"
115311,"Barwara Mazra",9455,"Class_5"
115312,"Pakbara",36728,"Class_3"
115652,"Rustamnagar Sahaspur",18677,"Class_4"
117035,"Saijni Nankar",8572,"Class_5"
117036,"Ajitpur",15373,"Class_4"
118195,"Beelna",7024,"Class_5"
119234,"Sindhawali",5335,"Class_5"
119235,"Amehra Adipur",5485,"Class_5"
119236,"Aminagar Urf Bhurbaral",6141,"Class_5"
119237,"Mohiuddinpur",5200,"Class_5"
119671,"Abupur",6247,"Class_5"
119672,"Basantpur Saitli",5563,"Class_5"
119673,"Muradgram Pur Pursi",5120,"Class_5"
119674,"Sikri Kalan",7037,"Class_5"
119675,"Rori",12350,"Class_4"
119676,"Aurangabad Gadana",6170,"Class_5"
119677,"Bisokhar",14332,"Class_4"
119678,"Begumabad Budhana",19898,"Class_4"
119679,"Ordnance Factory Muradnagar",7569,"Class_5"
119758,"Pavi Sadakpur",757,"Class_6"
119759,"Haqiqatpur Urf Khudawas",15324,"Class_4"
119760,"Banthla",5766,"Class_5"
119761,"Khora",190005,"Class_1"
120113,"Buxer",11499,"Class_4"
120224,"Chipyana Buzurg",17400,"Class_4"
120225,"Chhapraula",15154,"Class_4"
120226,"Patadi",8479,"Class_5"
120227,"Noida",637272,"Class_1"
120228,"Salarpur Khadar",13600,"Class_4"
120347,"Greater Noida",102054,"Class_1"
120348,"Kherli Hafizpur",7932,"Class_5"
120827,"Bahalimpura",4921,"Class_6"
121690,"Hasangarh",6541,"Class_5"
121691,"Khurja Rural",21383,"Class_3"
121692,"Maina Maujpur",7351,"Class_5"
122031,"Gabhana",5886,"Class_5"
122337,"Gangiri",5576,"Class_5"
122709,"Qasimpur Power House Colony",7791,"Class_5"
122710,"Sarsaul",9267,"Class_5"
122711,"Ashrafpur Jalal",11785,"Class_4"
122712,"Deosaini",6920,"Class_5"
122713,"Kwarasi",15763,"Class_4"
122714,"Rampur",5499,"Class_5"
122715,"Manjoor Garhi",9381,"Class_5"
122716,"Ramgarh Panjoopur",18897,"Class_4"
122717,"Dhaurra Mafi",13241,"Class_4"
122718,"Dhanipur",20511,"Class_3"
123440,"Devinagar",5982,"Class_5"
123441,"Hathras Dehat",11620,"Class_4"
123442,"Garhi Tamana",6269,"Class_5"
124214,"Isapur Banger",6280,"Class_5"
124455,"Rajpur Bangar",8683,"Class_5"
124456,"Bakalpur Mathura",14455,"Class_4"
124457,"Pali Khera",8632,"Class_5"
124458,"Birjapur",8862,"Class_5"
124459,"Ranchi Bangar",12536,"Class_4"
124460,"Aurangabad Bangar",15792,"Class_4"
124461,"Bad",14559,"Class_4"
124572,"Khandauli",8625,"Class_5"
124689,"Artauni",6061,"Class_5"
124690,"Dehtora",16020,"Class_4"
